"Ranch2","Block","Variety","Treatment","pctNOW","pctTwigborer","Year","pctTotReject"
3450,"2_3","WD","CMD",0.60132291,0,2006,NA
3450,"2_4","WD","CMD",0.191326531,0,2006,NA
3450,"2_4","WD","CMD",0,0,2006,NA
3450,"2_4","WD","CMD",0.169204738,0,2006,NA
3450,"2_4","WD","CMD",0.256081946,0,2006,NA
3460,"25-1","BU","C",0.382513661,0,2006,NA
3460,"25-1","BU","C",0.264270613,0,2006,NA
3460,"25-1","BU","C",0.308008214,0,2006,NA
3460,"25-1","BU","C",0.467562829,0,2006,NA
3460,"25-1","FR","C",0.297265161,0,2006,NA
3460,"25-1","FR","C",0.167973124,0,2006,NA
3460,"25-1","FR","C",0.744985673,0,2006,NA
3460,"25-1","FR","C",0.275633958,0,2006,NA
3460,"25-1","MI","C",0,0,2006,NA
3460,"25-1","MI","C",0,0,2006,NA
3460,"25-1","MI","C",0,0,2006,NA
3460,"25-1","MI","C",0.067567568,0,2006,NA
3460,"25-2","BU","C",1.803374055,0,2006,NA
3460,"25-2","BU","C",0.725952813,0,2006,NA
3460,"25-2","FR","C",0.224971879,0,2006,NA
3460,"25-2","FR","C",0.394671929,0,2006,NA
3460,"25-2","MI","C",0.062932662,0,2006,NA
3460,"25-2","MI","C",0,0,2006,NA
3460,"25-3","FR","C",1.446654611,0,2006,NA
3460,"25-3","FR","C",0.417661098,0,2006,NA
3460,"25-3","MO","C",1.465201465,0,2006,NA
3460,"25-3","MO","C",4.590163934,0,2006,NA
3460,"25-3","NP","C",1.342673672,0.058377116,2006,NA
3460,"25-3","NP","C",1.001112347,0,2006,NA
3460,"25-4","FR","C",0.235294118,0.058823529,2006,NA
3460,"25-4","FR","C",0.202531646,0,2006,NA
3460,"25-4","FR","C",0.150829563,0,2006,NA
3460,"25-4","FR","C",0,0,2006,NA
3460,"25-4","MO","C",0.291262136,0.194174757,2006,NA
3460,"25-4","MO","C",3.341483293,0,2006,NA
3460,"25-4","MO","C",1.896067416,0,2006,NA
3460,"25-4","MO","C",1.2292563,0,2006,NA
3460,"25-4","NP","C",0.727476217,0,2006,NA
3460,"25-4","NP","C",0.839328537,0.119904077,2006,NA
3460,"25-4","NP","C",0.236406619,0,2006,NA
3460,"25-4","NP","C",0.372142477,0.106326422,2006,NA
3460,"30-1","MO","C",0.838222967,0,2006,NA
3460,"30-1","MO","C",0.289017341,0,2006,NA
3460,"30-1","MO","C",0.491803279,0,2006,NA
3460,"30-1","MO","C",0,0,2006,NA
3460,"30-1","NP","C",1.412239408,0,2006,NA
3460,"30-1","NP","C",0.770308123,0.350140056,2006,NA
3460,"30-1","NP","C",0.198938992,0.132625995,2006,NA
3460,"30-1","NP","C",0.563909774,0,2006,NA
3460,"30-1","WD","C",0.766283525,0,2006,NA
3460,"30-1","WD","C",0.114351058,0,2006,NA
3460,"30-1","WD","C",0.126262626,0,2006,NA
3460,"30-1","WD","C",0.689655172,0,2006,NA
3460,"30-2","BU","C",0.48048048,0,2006,NA
3460,"30-2","BU","C",0.633312223,0,2006,NA
3460,"30-2","BU","C",0.166759311,0,2006,NA
3460,"30-2","BU","C",0.36877689,0,2006,NA
3460,"30-2","FR","C",0.796812749,0,2006,NA
3460,"30-2","FR","C",0.607902736,0,2006,NA
3460,"30-2","FR","C",0.95642933,0,2006,NA
3460,"30-2","FR","C",0.152555301,0,2006,NA
3460,"30-2","RY","C",0.501253133,0.167084378,2006,NA
3460,"30-2","RY","C",0.157109191,0,2006,NA
3460,"30-2","RY","C",0.129785853,0,2006,NA
3460,"30-2","RY","C",1.038961039,0,2006,NA
3460,"30-3","FR","C",0.376952073,0,2006,NA
3460,"30-3","FR","C",0.054884742,0,2006,NA
3460,"30-3","FR","C",0.259067358,0,2006,NA
3460,"30-3","FR","C",0.063171194,0,2006,NA
3460,"30-3","MO","C",1.81680545,0,2006,NA
3460,"30-3","MO","C",0.757097792,0,2006,NA
3460,"30-3","MO","C",2.518891688,0,2006,NA
3460,"30-3","MO","C",0.238095238,0,2006,NA
3460,"30-3","NP","C",0.654372397,0.1189768,2006,NA
3460,"30-3","NP","C",0.309023486,0.309023486,2006,NA
3460,"30-3","NP","C",0.382165605,0.50955414,2006,NA
3460,"30-3","NP","C",0.184501845,0.061500615,2006,NA
3460,"30-4","FR","C",0.888888889,0,2006,NA
3460,"30-4","FR","C",1.540522438,0,2006,NA
3460,"30-4","MO","C",1.563610519,0,2006,NA
3460,"30-4","MO","C",2.045454545,0,2006,NA
3460,"30-4","NP","C",0.218459858,0,2006,NA
3460,"30-4","NP","C",0.427807487,0,2006,NA
3440,"13-1","BU","Conv",0.18,0,2007,1.46
3440,"13-1","NP","Conv",0.61,0.07,2007,1.36
3440,"13-2","BU","Conv",0.12,0.03,2007,0.78
3440,"13-2","NP","Conv",0.17,0.05,2007,0.8
3440,"13-3","CA","Conv",0.21,0,2007,1.08
3440,"13-3","NP","Conv",0.43,0.12,2007,1.18
3440,"13-4","CA","Conv",0.21,0.03,2007,1.09
3440,"13-4","NP","Conv",0.42,0.21,2007,1.41
3440,"14-1","NP","Conv",0.52,0.1,2007,1.3
3440,"14-4","CA","Conv",0.49,0.02,2007,1.29
3440,"14-4","NP","Conv",0.39,0.07,2007,1.01
3440,"24-1","NP","Conv",0.32,0.08,2007,0.83
3440,"24-2","NP","Conv",0.55,0.08,2007,0.98
3440,"24-3","NP","Conv",0.45,0.07,2007,1.25
3440,"24-4","NP","Conv",0.61,0.04,2007,1.21
3450,"01-2","NP","MD",0.1,0.09,2007,2.3
3450,"01-3","NP","CMD",0.05,0.01,2007,1.65
3450,"02-1","NP","MD",0.14,0.12,2007,2.32
3450,"02-2","NP","MD",0.27,0.04,2007,2.26
3450,"02-3","NP","CMD",0.22,0.1,2007,1.12
3450,"02-4","NP","CMD",0,0,2007,1.19
3450,"11-1","NP","MD",0.08,0.15,2007,1.09
3450,"11-1","PR","MD",0.14,0.07,2007,0.85
3450,"11-2","NP","MD",0.05,0,2007,1.16
3450,"11-2","PR","MD",0.24,0.14,2007,1.25
3450,"11-4","CA","Conv",0.19,0.01,2007,1.01
3450,"11-4","NP","Conv",0.21,0.1,2007,1.05
3450,"12-1","NP","MD",0.08,0.28,2007,1.92
3450,"12-1","PR","MD",0.02,0.17,2007,1.56
3450,"12-2","NP","MD",0.08,0.26,2007,1.28
3450,"12-2","PR","MD",0.12,0.13,2007,0.86
3450,"12-3","CA","Conv",0.03,0.01,2007,1.33
3450,"12-3","NP","Conv",0.09,0.14,2007,1.41
3450,"12-4","CA","Conv",0.06,0,2007,2.02
3450,"12-4","NP","Conv",0.21,0.17,2007,1.25
3460,"25-3,4","NP","Conv",0.41,0.04,2007,1.46
3460,"30-1","NP","Conv",0.45,0.02,2007,1.42
3460,"30-3","NP","Conv",0.32,0.06,2007,0.94
3460,"30-4","NP","Conv",0.3,0.03,2007,1.12
3440,"13-1","NP","1MD",0.32,0.0021,2008,NA
3440,"13-1","NP","1MD",0.5,0.0022,2008,NA
3440,"13-1","NP","1MD",0.32,0.0014,2008,NA
3440,"13-1","NP","1MD",0.78,0,2008,NA
3440,"13-1","NP","1MD",0.65,0,2008,NA
3440,"13-1","NP","1MD",0.1,0,2008,NA
3440,"13-1","NP","1MD",0.37,9e-04,2008,NA
3440,"13-1","NP","1MD",0.38,0.0034,2008,NA
3440,"13-1","NP","1MD",0,0.0026,2008,NA
3440,"13-1","NP","1MD",1.01,0.003,2008,NA
3440,"13-1","NP","1MD",0.17,0,2008,NA
3440,"13-1","NP","1MD",0.45,0.0024,2008,NA
3440,"13-1","NP","1MD",0.32,0,2008,NA
3440,"13-1","NP","1MD",0.41,0,2008,NA
3440,"13-1","NP","1MD",0.17,0.0033,2008,NA
3440,"13-1","NP","1MD",0.29,0.0021,2008,NA
3440,"13-1","NP","1MD",0,0.0014,2008,NA
3440,"13-1","NP","1MD",0.23,0,2008,NA
3440,"13-1","NP","1MD",0.51,0,2008,NA
3440,"13-1","NP","1MD",0.65,0.0011,2008,NA
3440,"13-1","NP","1MD",0.32,0,2008,NA
3440,"13-1","NP","1MD",0.59,0,2008,NA
3440,"13-1","NP","1MD",1.12,0,2008,NA
3440,"13-2","NP","1MD",0.54,0,2008,NA
3440,"13-2","NP","1MD",0.89,0.0026,2008,NA
3440,"13-2","NP","1MD",1.25,0,2008,NA
3440,"13-2","NP","1MD",0.65,0,2008,NA
3440,"13-2","NP","1MD",0,0,2008,NA
3440,"13-2","NP","1MD",0.54,0,2008,NA
3440,"13-2","NP","1MD",0,0,2008,NA
3440,"13-2","NP","1MD",0.09,0,2008,NA
3440,"13-2","NP","1MD",0.53,0,2008,NA
3440,"13-2","NP","1MD",0,0,2008,NA
3440,"13-2","NP","1MD",0.17,0.0021,2008,NA
3440,"13-2","NP","1MD",0,0.0034,2008,NA
3440,"13-2","NP","1MD",0.97,0,2008,NA
3440,"13-2","NP","1MD",1.74,8e-04,2008,NA
3440,"13-2","NP","1MD",0,0.0025,2008,NA
3440,"13-2","NP","1MD",0.4,0.0028,2008,NA
3440,"13-2","NP","1MD",1.55,0,2008,NA
3440,"13-2","NP","1MD",0.55,0,2008,NA
3440,"13-2","NP","1MD",0.88,0.0013,2008,NA
3440,"13-2","NP","1MD",0.46,0.0039,2008,NA
3440,"13-2","NP","1MD",0.39,0,2008,NA
3440,"13-2","NP","1MD",0.62,0,2008,NA
3440,"13-3","NP","1CMD",0.15,0,2008,NA
3440,"13-3","NP","1CMD",0,0.0015,2008,NA
3440,"13-3","NP","1CMD",0.25,0.0047,2008,NA
3440,"13-3","NP","1CMD",0.23,0.002,2008,NA
3440,"13-3","NP","1CMD",0.29,0,2008,NA
3440,"13-3","NP","1CMD",0.26,0.0012,2008,NA
3440,"13-3","NP","1CMD",0.26,0.001,2008,NA
3440,"13-3","NP","1CMD",0.13,0,2008,NA
3440,"13-3","NP","1CMD",0.42,0,2008,NA
3440,"13-3","NP","1CMD",0,0,2008,NA
3440,"13-3","NP","1CMD",0.22,0,2008,NA
3440,"13-3","NP","1CMD",0.2,0,2008,NA
3440,"13-3","NP","1CMD",0.52,0,2008,NA
3440,"13-3","NP","1CMD",0,9e-04,2008,NA
3440,"13-3","NP","1CMD",0.09,0,2008,NA
3440,"13-3","NP","1CMD",0.32,0.001,2008,NA
3440,"13-3","NP","1CMD",0.11,0.0011,2008,NA
3440,"13-3","NP","1CMD",0.18,0,2008,NA
3440,"13-3","NP","1CMD",0,0,2008,NA
3440,"13-3","NP","1CMD",0.3,0,2008,NA
3440,"13-3","NP","1CMD",0.26,0,2008,NA
3440,"13-3","NP","1CMD",0.13,0,2008,NA
3440,"13-3","NP","1CMD",1.18,0.001,2008,NA
3440,"13-4","NP","1CMD",0.5,0.004,2008,NA
3440,"13-4","NP","1CMD",0.1,0,2008,NA
3440,"13-4","NP","1CMD",0.05,0,2008,NA
3440,"13-4","NP","1CMD",0.19,0.0024,2008,NA
3440,"13-4","NP","1CMD",0.07,0,2008,NA
3440,"13-4","NP","1CMD",0.2,0,2008,NA
3440,"13-4","NP","1CMD",0.05,0,2008,NA
3440,"13-4","NP","1CMD",0.69,0,2008,NA
3440,"13-4","NP","1CMD",0.38,0,2008,NA
3440,"13-4","NP","1CMD",0.21,0,2008,NA
3440,"13-4","NP","1CMD",0.35,0.0013,2008,NA
3440,"13-4","NP","1CMD",0.19,0.001,2008,NA
3440,"13-4","NP","1CMD",0.2,0,2008,NA
3440,"13-4","NP","1CMD",0.43,0,2008,NA
3440,"13-4","NP","1CMD",0,7e-04,2008,NA
3440,"13-4","NP","1CMD",0.29,0.002,2008,NA
3440,"13-4","NP","1CMD",0,8e-04,2008,NA
3440,"13-4","NP","1CMD",0,0,2008,NA
3440,"13-4","NP","1CMD",0.16,0.0019,2008,NA
3440,"13-4","NP","1CMD",0.44,0.0023,2008,NA
3440,"13-4","NP","1CMD",0.11,0,2008,NA
3440,"13-4","NP","1CMD",0,0,2008,NA
3440,"13-4","NP","1CMD",0.59,0,2008,NA
3440,"13-4","NP","1CMD",0.2,0.0016,2008,NA
3440,"13-4","NP","1CMD",0.15,0,2008,NA
3440,"14-1","NP","1MD",0.33,0,2008,NA
3440,"14-1","NP","1MD",0.64,0,2008,NA
3440,"14-1","NP","1MD",0.72,0,2008,NA
3440,"14-1","NP","1MD",2.67,0.0015,2008,NA
3440,"14-1","NP","1MD",1.18,0.0013,2008,NA
3440,"14-1","NP","1MD",2.98,0,2008,NA
3440,"14-1","NP","1MD",2.27,0,2008,NA
3440,"14-1","NP","1MD",2.11,0.0012,2008,NA
3440,"14-1","NP","1MD",1.1,0,2008,NA
3440,"14-1","NP","1MD",1.35,0.0016,2008,NA
3440,"14-1","NP","1MD",2.49,0,2008,NA
3440,"14-1","NP","1MD",3.48,0,2008,NA
3440,"14-4","NP","1CMD",0.93,0.0018,2008,NA
3440,"14-4","NP","1CMD",0.68,0,2008,NA
3440,"14-4","NP","1CMD",0.87,0,2008,NA
3440,"14-4","NP","1CMD",1.07,9e-04,2008,NA
3440,"14-4","NP","1CMD",0.9,8e-04,2008,NA
3440,"14-4","NP","1CMD",1.53,6e-04,2008,NA
3440,"14-4","NP","1CMD",0.14,0,2008,NA
3440,"14-4","NP","1CMD",0.82,0,2008,NA
3440,"14-4","NP","1CMD",0.15,0,2008,NA
3440,"14-4","NP","1CMD",0.65,0.0056,2008,NA
3440,"24-1","NP","2MD",0.9,0,2008,NA
3440,"24-1","NP","2MD",0.63,0,2008,NA
3440,"24-1","NP","2MD",0.45,7e-04,2008,NA
3440,"24-1","NP","2MD",0.28,0,2008,NA
3440,"24-1","NP","2MD",0.2,0,2008,NA
3440,"24-1","NP","2MD",0.53,0.0033,2008,NA
3440,"24-1","NP","2MD",0.25,0,2008,NA
3440,"24-1","NP","2MD",0.5,0.0016,2008,NA
3440,"24-1","NP","2MD",0.47,0,2008,NA
3440,"24-1","NP","2MD",0.2,0.0028,2008,NA
3440,"24-1","NP","2MD",0.87,0,2008,NA
3440,"24-1","NP","2MD",0.74,0,2008,NA
3440,"24-1","NP","2MD",0.54,0,2008,NA
3440,"24-1","NP","2MD",0.65,0.0012,2008,NA
3440,"24-1","NP","2MD",0.08,0,2008,NA
3440,"24-1","NP","2MD",1.24,0,2008,NA
3440,"24-1","NP","2MD",0.72,0.0023,2008,NA
3440,"24-1","NP","2MD",0.31,0.0012,2008,NA
3440,"24-1","NP","2MD",0,0,2008,NA
3440,"24-1","NP","2MD",0.83,0,2008,NA
3440,"24-1","NP","2MD",0.69,0,2008,NA
3440,"24-1","NP","2MD",0.95,0.0014,2008,NA
3440,"24-1","NP","2MD",0.36,0,2008,NA
3440,"24-1","NP","2MD",0.53,0,2008,NA
3440,"24-1","NP","2MD",0.59,0,2008,NA
3440,"24-2","NP","2MD",1.16,6e-04,2008,NA
3440,"24-2","NP","2MD",0.86,0.0015,2008,NA
3440,"24-2","NP","2MD",2.4,0,2008,NA
3440,"24-2","NP","2MD",2.19,0,2008,NA
3440,"24-2","NP","2MD",1.52,0,2008,NA
3440,"24-2","NP","2MD",2.08,0,2008,NA
3440,"24-2","NP","2MD",4.76,0.0013,2008,NA
3440,"24-2","NP","2MD",3.83,0,2008,NA
3440,"24-2","NP","2MD",4.19,0,2008,NA
3440,"24-2","NP","2MD",1.64,0,2008,NA
3440,"24-2","NP","2MD",3.13,0,2008,NA
3440,"24-2","NP","2MD",1.51,0.0016,2008,NA
3440,"24-2","NP","2MD",1.65,0,2008,NA
3440,"24-2","NP","2MD",1.44,0.001,2008,NA
3440,"24-2","NP","2MD",2.29,0,2008,NA
3440,"24-2","NP","2MD",0.58,0,2008,NA
3440,"24-2","NP","2MD",1.76,0,2008,NA
3440,"24-2","NP","2MD",1.3,0.0112,2008,NA
3440,"24-2","NP","2MD",1.71,0,2008,NA
3440,"24-2","NP","2MD",2.23,0,2008,NA
3440,"24-2","NP","2MD",2.01,0.0025,2008,NA
3440,"24-3","NP","2CMD",1.05,0,2008,NA
3440,"24-3","NP","2CMD",0.55,0.0031,2008,NA
3440,"24-3","NP","2CMD",1.01,8e-04,2008,NA
3440,"24-3","NP","2CMD",1.6,0,2008,NA
3440,"24-3","NP","2CMD",0.38,0,2008,NA
3440,"24-3","NP","2CMD",2.28,0,2008,NA
3440,"24-3","NP","2CMD",0.35,0,2008,NA
3440,"24-3","NP","2CMD",0.59,0,2008,NA
3440,"24-3","NP","2CMD",1.09,0.0013,2008,NA
3440,"24-4","NP","2CMD",0.52,0,2008,NA
3440,"24-4","NP","2CMD",0,0,2008,NA
3440,"24-4","NP","2CMD",0.59,0,2008,NA
3440,"24-4","NP","2CMD",1.41,0,2008,NA
3440,"24-4","NP","2CMD",1.04,0,2008,NA
3440,"24-4","NP","2CMD",0.65,0,2008,NA
3440,"24-4","NP","2CMD",0.27,0,2008,NA
3440,"24-4","NP","2CMD",0.16,0,2008,NA
3440,"24-4","NP","2CMD",0.69,0,2008,NA
3440,"24-4","NP","2CMD",0.42,0.001,2008,NA
3440,"24-4","NP","2CMD",0.17,0,2008,NA
3440,"24-4","NP","2CMD",0.44,0,2008,NA
3440,"24-4","NP","2CMD",0.21,0,2008,NA
3440,"24-4","NP","2CMD",0.73,0,2008,NA
3440,"24-4","NP","2CMD",0.16,8e-04,2008,NA
3440,"24-4","NP","2CMD",0.1,0.0018,2008,NA
3440,"24-4","NP","2CMD",0.41,0,2008,NA
3440,"24-4","NP","2CMD",0.66,0,2008,NA
3440,"24-4","NP","2CMD",0.74,0,2008,NA
3440,"24-4","NP","2CMD",0.49,0,2008,NA
3440,"24-4","NP","2CMD",0.18,0,2008,NA
3450,"39449","NP","2MD",0.5,0.0011,2008,NA
3450,"39449","NP","2MD",0.21,0,2008,NA
