"date","type","plot","treatment","variety","ranch","block","position","tot_nuts","inf_now","dmg_now","sample_id"
2006-08-24,"Conv","Interior","C","NP",346,24.4,"A8",663,4,4,NA
2006-08-24,"Conv","Edge","C","NP",346,24.4,"E8",572,4,4,NA
2006-10-04,"MD","Interior","MD","Monterrey",345,2.2,"A1",643,29,24,NA
2006-10-04,"MD","Edge","MD","Monterrey",345,2.2,"E1",807,24,24,NA
2006-10-04,"MD","Interior","MD","Monterrey",345,2.1,"A2",548,8,7,NA
2006-10-04,"MD","Edge","MD","Monterrey",345,2.1,"E2",626,9,8,NA
2006-10-04,"MD","Interior","MD","Monterrey",345,1.2,"A3",493,9,8,NA
2006-10-04,"MD","Edge","MD","Monterrey",345,1.2,"E3",652,42,40,NA
2006-10-04,"MD","Interior","MD","Monterrey",345,1.2,"A4",625,3,3,NA
2006-10-04,"MD","Edge","MD","Monterrey",345,1.2,"E4",683,21,16,NA
2006-10-04,"MD","Interior","CMD","Monterrey",345,1.3,"A5",703,4,4,NA
2006-10-04,"MD","Edge","CMD","Monterrey",345,1.3,"E5",624,5,5,NA
2006-10-04,"MD","Interior","MD","Monterrey",345,12.1,"A6",654,10,10,NA
2006-10-04,"MD","Edge","MD","Monterrey",345,12.1,"E6",695,11,4,NA
2006-10-04,"MD","Interior","MD","Monterrey",345,12.1,"A7",563,6,4,NA
2006-10-04,"MD","Edge","MD","Monterrey",345,12.1,"E7",663,27,26,NA
2006-10-04,"MD","Interior","CMD","Monterrey",345,12.4,"A8",717,4,2,NA
2006-10-04,"MD","Edge","CMD","Monterrey",345,12.4,"E8",680,10,10,NA
2006-10-04,"MD","Interior","CMD","Monterrey",345,12.4,"A9",701,3,3,NA
2006-10-04,"MD","Edge","CMD","Monterrey",345,12.4,"E9",643,17,17,NA
2006-10-04,"MD","Interior","CMD","Monterrey",345,12.4,"A10",689,0,0,NA
2006-10-04,"MD","Edge","CMD","Monterrey",345,12.4,"E10",678,7,6,NA
2006-10-04,"MD","Interior","CMD","Monterrey",345,12.3,"A11",736,3,3,NA
2006-10-04,"MD","Edge","CMD","Monterrey",345,12.3,"E11",755,4,3,NA
2006-10-04,"MD","Interior","CMD","Monterrey",345,11.3,"A12",719,11,11,NA
2006-10-04,"MD","Edge","CMD","Monterrey",345,11.3,"E12",645,33,33,NA
2006-10-04,"MD","Interior","CMD","Monterrey",345,11.3,"A13",730,1,1,NA
2006-10-04,"MD","Edge","CMD","Monterrey",345,11.3,"E13",703,17,16,NA
2006-10-04,"MD","Interior","MD","Monterrey",345,11.2,"A14",661,41,36,NA
2006-10-04,"MD","Edge","MD","Monterrey",345,11.2,"E14",721,38,34,NA
2006-10-04,"MD","Interior","CMD","Monterrey",345,2.3,"A15",759,10,9,NA
2006-10-04,"MD","Edge","CMD","Monterrey",345,2.3,"E15",683,18,15,NA
2006-10-04,"MD","Interior","MD","Monterrey",345,2.2,"A16",657,31,26,NA
2006-10-04,"MD","Edge","MD","Monterrey",345,2.2,"E16",670,57,54,NA
2006-10-04,"MD","Interior","CMD","Monterrey",345,2.4,"A17",640,4,4,NA
2006-10-04,"MD","Interior","MD","Monterrey",345,11.1,"A18",662,25,21,NA
2006-10-04,"MD","Interior","MD","Monterrey",345,12.2,"A19",668,1,1,NA
2006-10-08,"Conv","Interior","C","Monterrey",344,24.2,"A1",692,35,34,NA
2006-10-08,"Conv","Edge","C","Monterrey",344,24.2,"E1",616,43,41,NA
2006-10-08,"Conv","Interior","C","Monterrey",344,24.1,"A2",625,3,3,NA
2006-10-08,"Conv","Edge","C","Monterrey",344,24.1,"E2",689,14,14,NA
2006-10-08,"Conv","Interior","C","Monterrey",344,24.1,"A3",639,13,13,NA
2006-10-08,"Conv","Edge","C","Monterrey",344,24.1,"E3",812,36,36,NA
2006-10-08,"Conv","Interior","C","Monterrey",344,24.4,"A4",610,14,14,NA
2006-10-08,"Conv","Edge","C","Monterrey",344,24.4,"E4",664,24,23,NA
2006-10-08,"Conv","Interior","C","Monterrey",344,24.4,"A5",651,5,5,NA
2006-10-08,"Conv","Edge","C","Monterrey",344,24.4,"E5",653,17,15,NA
2006-10-08,"Conv","Interior","C","Monterrey",344,24.3,"A6",805,18,16,NA
2006-10-08,"Conv","Edge","C","Monterrey",344,24.3,"E6",858,25,25,NA
2006-10-08,"Conv","Interior","C","Monterrey",344,24.3,"A7",717,15,15,NA
2006-10-08,"Conv","Edge","C","Monterrey",344,24.3,"E7",639,13,11,NA
2006-10-08,"Conv","Interior","C","Monterrey",344,24.2,"A8",674,42,32,NA
2006-10-08,"Conv","Edge","C","Monterrey",344,24.2,"E8",613,12,11,NA
2006-10-08,"Conv","Interior","C","Monterrey",344,24.2,"A9",679,24,22,NA
2006-10-08,"Conv","Edge","C","Monterrey",344,24.2,"E9",696,15,12,NA
2006-10-08,"Conv","Interior","C","Monterrey",346,30.1,"A1",657,5,5,NA
2006-10-08,"Conv","Edge","C","Monterrey",346,30.1,"E1",647,9,7,NA
2006-10-08,"Conv","Interior","C","Monterrey",346,30.1,"A2",657,18,18,NA
2006-10-08,"Conv","Edge","C","Monterrey",346,30.1,"E2",577,5,5,NA
2006-10-08,"Conv","Interior","C","Monterrey",346,30.4,"A3",554,34,32,NA
2006-10-08,"Conv","Edge","C","Monterrey",346,30.4,"E3",541,38,38,NA
2006-10-08,"Conv","Interior","C","Monterrey",346,30.4,"A4",470,8,6,NA
2006-10-08,"Conv","Edge","C","Monterrey",346,30.4,"E4",635,13,12,NA
2006-10-08,"Conv","Interior","C","Monterrey",346,30.3,"A5",513,1,1,NA
2006-10-08,"Conv","Edge","C","Monterrey",346,30.3,"E5",721,16,16,NA
2006-10-08,"Conv","Interior","C","Monterrey",346,25.4,"A6",574,15,11,NA
2006-10-08,"Conv","Edge","C","Monterrey",346,25.4,"E6",700,9,8,NA
2006-10-08,"Conv","Interior","C","Monterrey",346,25.4,"A7",723,11,11,NA
2006-10-08,"Conv","Edge","C","Monterrey",346,25.4,"E7",544,11,11,NA
2006-10-08,"Conv","Interior","C","Monterrey",346,24.4,"A8",530,13,10,NA
2006-10-08,"Conv","Edge","C","Monterrey",346,24.4,"E8",512,12,11,NA
2006-10-04,"MD","Interior","MD","Fritz",345,2.2,"A1",619,17,17,NA
2006-10-04,"MD","Edge","MD","Fritz",345,2.2,"E1",719,19,19,NA
2006-10-04,"MD","Interior","MD","Fritz",345,2.1,"A2",629,7,5,NA
2006-10-04,"MD","Edge","MD","Fritz",345,2.1,"E2",798,17,17,NA
2006-10-04,"MD","Interior","MD","Fritz",345,1.2,"A3",620,15,15,NA
2006-10-04,"MD","Edge","MD","Fritz",345,1.2,"E3",828,22,22,NA
2006-10-04,"MD","Interior","MD","Fritz",345,1.2,"A4",673,17,17,NA
2006-10-04,"MD","Edge","MD","Fritz",345,1.2,"E4",836,58,58,NA
2006-09-14,"MD","Interior","CMD","WC",345,1.3,"A5",625,3,0,NA
2006-09-14,"MD","Edge","CMD","WC",345,1.3,"E5",603,3,3,NA
2006-09-03,"MD","Interior","MD","Price",345,12.1,"A6",630,14,14,NA
2006-09-03,"MD","Edge","MD","Price",345,12.1,"E6",488,6,5,NA
2006-09-03,"MD","Interior","MD","Price",345,12.1,"A7",653,3,3,NA
2006-09-03,"MD","Edge","MD","Price",345,12.1,"E7",785,8,8,NA
2006-09-14,"MD","Interior","CMD","Carmel",345,12.4,"A8",687,0,0,NA
2006-09-14,"MD","Edge","CMD","Carmel",345,12.4,"E8",734,5,3,NA
2006-09-14,"MD","Interior","CMD","Carmel",345,12.4,"A9",837,10,10,NA
2006-09-14,"MD","Edge","CMD","Carmel",345,12.4,"E9",783,16,16,NA
2006-09-14,"MD","Interior","CMD","Carmel",345,12.4,"A10",874,2,2,NA
2006-09-14,"MD","Edge","CMD","Carmel",345,12.4,"E10",811,1,1,NA
2006-09-14,"MD","Interior","CMD","Carmel",345,12.3,"A11",617,2,2,NA
2006-09-14,"MD","Edge","CMD","Carmel",345,12.3,"E11",701,10,5,NA
2006-09-14,"MD","Interior","CMD","Carmel",345,11.3,"A12",634,10,10,NA
2006-09-14,"MD","Edge","CMD","Carmel",345,11.3,"E12",552,24,23,NA
2006-09-14,"MD","Interior","CMD","Carmel",345,11.3,"A13",560,5,5,NA
2006-09-14,"MD","Edge","CMD","Carmel",345,11.3,"E13",618,13,10,NA
2006-09-03,"MD","Interior","MD","Price",345,11.2,"A14",500,12,12,NA
2006-09-03,"MD","Edge","MD","Price",345,11.2,"E14",583,30,30,NA
2006-09-14,"MD","Interior","CMD","WC",345,2.3,"A15",688,9,7,NA
2006-09-14,"MD","Edge","CMD","WC",345,2.3,"E15",597,16,16,NA
2006-10-04,"MD","Interior","MD","Fritz",345,2.2,"A16",649,25,25,NA
2006-10-04,"MD","Edge","MD","Fritz",345,2.2,"E16",725,37,37,NA
2006-09-14,"MD","Interior","CMD","WC",345,2.4,"A17",701,2,2,NA
2006-09-03,"MD","Interior","MD","Price",345,11.1,"A18",581,19,19,NA
2006-09-03,"MD","Interior","MD","Price",345,12.2,"A19",564,10,10,NA
2006-10-08,"Conv","Interior","C","Fritz",344,24.2,"A1",806,27,27,NA
2006-10-08,"Conv","Edge","C","Fritz",344,24.2,"E1",629,15,15,NA
2006-10-08,"Conv","Interior","C","Fritz",344,24.1,"A2",748,10,10,NA
2006-10-08,"Conv","Edge","C","Fritz",344,24.1,"E2",730,9,7,NA
2006-10-08,"Conv","Interior","C","Fritz",344,24.1,"A3",621,10,9,NA
2006-10-08,"Conv","Edge","C","Fritz",344,24.1,"E3",626,16,13,NA
2006-10-08,"Conv","Interior","C","Fritz",344,24.4,"A4",769,5,5,NA
2006-10-08,"Conv","Edge","C","Fritz",344,24.4,"E4",683,4,4,NA
2006-10-08,"Conv","Interior","C","Fritz",344,24.4,"A5",811,1,0,NA
2006-10-08,"Conv","Edge","C","Fritz",344,24.4,"E5",719,4,4,NA
2006-10-08,"Conv","Interior","C","Fritz",344,24.3,"A6",862,20,20,NA
2006-10-08,"Conv","Edge","C","Fritz",344,24.3,"E6",708,52,48,NA
2006-10-08,"Conv","Interior","C","Fritz",344,24.3,"A7",641,12,12,NA
2006-10-08,"Conv","Edge","C","Fritz",344,24.3,"E7",698,29,29,NA
2006-10-08,"Conv","Interior","C","Fritz",344,24.2,"A8",667,20,19,NA
2006-10-08,"Conv","Edge","C","Fritz",344,24.2,"E8",681,11,11,NA
2006-10-08,"Conv","Interior","C","Fritz",344,24.2,"A9",692,27,27,NA
2006-10-08,"Conv","Edge","C","Fritz",344,24.2,"E9",675,10,10,NA
2006-09-14,"Conv","Interior","C","WC",346,30.1,"A1",616,2,2,NA
2006-09-14,"Conv","Edge","C","WC",346,30.1,"E1",710,3,3,NA
2006-09-14,"Conv","Interior","C","WC",346,30.1,"A2",684,0,0,NA
2006-09-14,"Conv","Edge","C","WC",346,30.1,"E2",695,3,3,NA
2006-10-08,"Conv","Interior","C","Fritz",346,30.4,"A3",677,9,9,NA
2006-10-08,"Conv","Edge","C","Fritz",346,30.4,"E3",710,14,13,NA
2006-10-08,"Conv","Interior","C","Fritz",346,30.4,"A4",457,2,1,NA
2006-10-08,"Conv","Edge","C","Fritz",346,30.4,"E4",753,23,22,NA
2006-10-08,"Conv","Interior","C","Fritz",346,30.3,"A5",496,5,5,NA
2006-10-08,"Conv","Edge","C","Fritz",346,30.3,"E5",721,5,5,NA
2006-10-08,"Conv","Interior","C","Fritz",346,25.4,"A6",600,23,23,NA
2006-10-08,"Conv","Edge","C","Fritz",346,25.4,"E6",815,25,24,NA
2006-10-08,"Conv","Interior","C","Fritz",346,25.4,"A7",907,18,17,NA
2006-10-08,"Conv","Edge","C","Fritz",346,25.4,"E7",730,2,1,NA
2006-10-08,"Conv","Interior","C","Fritz",346,24.4,"A8",686,4,4,NA
2006-10-08,"Conv","Edge","C","Fritz",346,24.4,"E8",628,5,5,NA
2007-08-13,"MD","Edge","MD","NP",345,2.2,"E1",800,18,18,NA
2007-08-13,"MD","Edge","MD","NP",345,2.1,"E2",571,5,5,NA
2007-08-13,"MD","Edge","MD","NP",345,1.2,"E3",609,4,4,NA
2007-08-13,"MD","Edge","MD","NP",345,1.2,"E4",749,0,0,NA
2007-08-13,"MD","Edge","CMD","NP",345,1.3,"E5",723,0,0,NA
2007-08-13,"MD","Edge","MD","NP",345,12.1,"E6",886,3,3,NA
2007-08-13,"MD","Edge","MD","NP",345,12.1,"E7",949,1,1,NA
2007-08-13,"Conv","Edge","C","NP",345,12.4,"E8",681,3,3,NA
2007-08-13,"Conv","Edge","C","NP",345,12.4,"E9",580,2,2,NA
2007-08-13,"Conv","Edge","C","NP",345,12.4,"E10",836,5,5,NA
2007-08-13,"Conv","Edge","C","NP",345,12.3,"E11",812,0,0,NA
2007-08-13,"Conv","Edge","C","NP",345,11.4,"E12",827,11,11,NA
2007-08-13,"Conv","Edge","C","NP",345,11.3,"E13",662,2,2,NA
2007-08-13,"MD","Edge","MD","NP",345,11.2,"E14",909,10,10,NA
2007-08-13,"MD","Edge","CMD","NP",345,2.3,"E15",676,4,4,NA
2007-08-13,"MD","Edge","MD","NP",345,2.2,"E16",617,5,5,NA
2007-08-13,"MD","Interior","MD","NP",345,2.2,"C1",811,4,4,NA
2007-08-13,"MD","Interior","CMD","NP",345,2.3,"C2",630,2,2,NA
2007-08-13,"MD","Interior","MD","NP",345,2.1,"C4",748,2,2,NA
2007-08-13,"MD","Interior","CMD","NP",345,2.4,"C5",637,0,0,NA
2007-08-13,"MD","Interior","MD","NP",345,11.1,"C6",840,1,1,NA
2007-08-13,"Conv","Interior","C","NP",345,11.4,"C7",709,12,12,NA
2007-08-13,"Conv","Interior","C","NP",345,12.3,"C8",558,2,2,NA
2007-08-13,"MD","Interior","MD","NP",345,12.2,"C9",852,1,1,NA
2007-08-13,"MD","Interior","CMD","NP",345,1.3,"C10",834,0,0,NA
2007-08-13,"MD","Interior","MD","NP",345,1.2,"C11",693,0,0,NA
2007-08-13,"MD","Interior","MD","NP",345,12.1,"C14",745,1,1,NA
2007-08-13,"Conv","Interior","C","NP",345,12.4,"C15",715,3,2,NA
2007-08-16,"Conv","Edge","C","NP",344,24.2,"E1",700,1,1,NA
2007-08-16,"Conv","Edge","C","NP",344,24.1,"E2",487,3,3,NA
2007-08-16,"Conv","Edge","C","NP",344,24.1,"E3",497,4,4,NA
2007-08-16,"Conv","Edge","C","NP",344,24.4,"E4",479,11,11,NA
2007-08-16,"Conv","Edge","C","NP",344,24.4,"E5",536,1,1,NA
2007-08-16,"Conv","Edge","C","NP",344,24.3,"E6",722,5,5,NA
2007-08-16,"Conv","Edge","C","NP",344,24.3,"E7",516,3,3,NA
2007-08-16,"Conv","Edge","C","NP",344,24.2,"E8",571,4,4,NA
2007-08-16,"Conv","Interior","C","NP",344,24.2,"C1",494,1,1,NA
2007-08-16,"Conv","Interior","C","NP",344,24.2,"C2",682,3,3,NA
2007-08-16,"Conv","Interior","C","NP",344,24.3,"C3",563,2,2,NA
2007-08-16,"Conv","Interior","C","NP",344,24.3,"C4",669,3,3,NA
2007-08-16,"Conv","Interior","C","NP",344,24.1,"C5",528,1,1,NA
2007-08-16,"Conv","Interior","C","NP",344,24.1,"C6",592,2,2,NA
2007-08-16,"Conv","Interior","C","NP",344,24.4,"C7",645,1,1,NA
2007-08-16,"Conv","Interior","C","NP",344,24.4,"C8",713,13,13,NA
2007-08-16,"Conv","Edge","C","NP",346,30.1,"E1",549,1,1,NA
2007-08-16,"Conv","Edge","C","NP",346,30.1,"E2",405,1,1,NA
2007-08-16,"Conv","Edge","C","NP",346,30.4,"E3",662,5,5,NA
2007-08-16,"Conv","Edge","C","NP",346,30.4,"E4",703,4,4,NA
2007-08-16,"Conv","Edge","C","NP",346,30.3,"E5",570,1,1,NA
2007-08-16,"Conv","Edge","C","NP",346,30.3,"E6",699,0,0,NA
2007-08-16,"Conv","Edge","C","NP",346,25.4,"E7",570,4,4,NA
2007-08-16,"Conv","Edge","C","NP",346,25.3,"E8",617,16,16,NA
2007-08-16,"Conv","Interior","C","NP",346,30.1,"C1",703,1,1,NA
2007-08-16,"Conv","Interior","C","NP",346,30.1,"C2",674,2,2,NA
2007-08-16,"Conv","Interior","C","NP",346,30.4,"C3",476,1,1,NA
2007-08-16,"Conv","Interior","C","NP",346,30.3,"C4",659,0,0,NA
2007-08-16,"Conv","Interior","C","NP",346,30.3,"C5",617,4,4,NA
2007-08-16,"Conv","Interior","C","NP",346,25.4,"C6",681,0,0,NA
2007-08-16,"Conv","Interior","C","NP",346,25.4,"C7",667,1,1,NA
2007-08-16,"Conv","Interior","C","NP",346,25.3,"C8",785,5,5,NA
2007-08-30,"MD","Edge","CMD","Wood Col",345,1.3,"E5",775,3,3,NA
2007-08-30,"MD","Edge","MD","Price",345,12.1,"E6",584,0,0,NA
2007-08-30,"MD","Edge","MD","Price",345,12.1,"E7",614,0,0,NA
2007-08-30,"MD","Edge","MD","Price",345,11.2,"E14",708,1,1,NA
2007-08-30,"MD","Edge","CMD","Wood Col",345,2.3,"E15",729,2,2,NA
2007-08-30,"MD","Interior","CMD","Wood Col",345,2.3,"C2",701,0,0,NA
2007-08-30,"MD","Interior","CMD","Wood Col",345,2.4,"C5",880,0,0,NA
2007-08-30,"MD","Interior","MD","Price",345,11.1,"C6",842,0,0,NA
2007-08-30,"MD","Interior","MD","Price",345,12.2,"C9",692,4,4,NA
2007-08-30,"MD","Interior","CMD","Wood Col",345,1.3,"C10",726,0,0,NA
2007-08-30,"MD","Interior","MD","Price",345,12.1,"C14",690,1,1,NA
2007-08-30,"Conv","Edge","C","Wood Col",346,30.1,"E1",876,0,0,NA
2007-08-30,"Conv","Edge","C","Wood Col",346,30.1,"E2",715,1,1,NA
2007-08-30,"Conv","Interior","C","Wood Col",346,30.1,"C1",721,3,2,NA
2007-08-30,"Conv","Interior","C","Wood Col",346,30.1,"C2",916,2,2,NA
2007-09-15,"Conv","Edge","C","Carmel",345,12.4,"E8",555,3,2,NA
2007-09-15,"Conv","Edge","C","Carmel",345,12.4,"E9",554,2,2,NA
2007-09-15,"Conv","Edge","C","Carmel",345,12.4,"E10",573,1,1,NA
2007-09-15,"Conv","Edge","C","Carmel",345,12.3,"E11",598,0,0,NA
2007-09-15,"Conv","Edge","C","Carmel",345,11.4,"E12",617,6,5,NA
2007-09-15,"Conv","Edge","C","Carmel",345,11.3,"E13",639,11,10,NA
2007-09-15,"Conv","Interior","C","Carmel",345,11.4,"C7",647,0,0,NA
2007-09-15,"Conv","Interior","C","Carmel",345,12.3,"C8",566,2,2,NA
2007-09-15,"Conv","Interior","C","Carmel",345,12.4,"C15",518,1,1,NA
2007-09-15,"Conv","Edge","C","Fritz",344,24.2,"E1",514,3,3,NA
2007-09-15,"Conv","Edge","C","Fritz",344,24.1,"E2",515,18,18,NA
2007-09-15,"Conv","Edge","C","Fritz",344,24.1,"E3",517,16,15,NA
2007-09-15,"Conv","Edge","C","Fritz",344,24.4,"E4",561,32,30,NA
2007-09-15,"Conv","Edge","C","Fritz",344,24.4,"E5",568,59,58,NA
2007-09-15,"Conv","Edge","C","Fritz",344,24.3,"E6",542,50,49,NA
2007-09-15,"Conv","Edge","C","Fritz",344,24.3,"E7",533,13,11,NA
2007-09-15,"Conv","Edge","C","Fritz",344,24.2,"E8",535,2,2,NA
2007-09-15,"Conv","Interior","C","Fritz",344,24.2,"C1",553,3,3,NA
2007-09-15,"Conv","Interior","C","Fritz",344,24.2,"C2",488,6,6,NA
2007-09-15,"Conv","Interior","C","Fritz",344,24.3,"C3",532,6,6,NA
2007-09-15,"Conv","Interior","C","Fritz",344,24.3,"C4",504,11,10,NA
2007-09-15,"Conv","Interior","C","Fritz",344,24.1,"C5",462,9,9,NA
2007-09-15,"Conv","Interior","C","Fritz",344,24.1,"C6",520,4,4,NA
2007-09-15,"Conv","Interior","C","Fritz",344,24.4,"C7",520,2,2,NA
2007-09-15,"Conv","Interior","C","Fritz",344,24.4,"C8",524,11,9,NA
2007-10-05,"MD","Edge","MD","Fritz",345,2.2,"E1",877,157,155,NA
2007-10-05,"MD","Edge","MD","Fritz",345,2.1,"E2",980,36,28,NA
2007-10-05,"MD","Edge","MD","Fritz",345,1.2,"E3",1280,56,56,NA
2007-10-05,"MD","Edge","MD","Fritz",345,2.2,"E16",1192,66,58,NA
2007-10-05,"MD","Interior","MD","Fritz",345,2.2,"C1",1059,11,10,NA
2007-10-05,"MD","Interior","MD","Fritz",345,2.1,"C4",910,8,6,NA
2007-10-05,"MD","Interior","MD","Fritz",345,1.2,"C11",826,7,6,NA
2007-10-05,"Conv","Edge","C","Fritz",344,24.2,"E1",784,1,1,NA
2007-10-05,"Conv","Edge","C","Fritz",344,24.1,"E2",896,29,28,NA
2007-10-05,"Conv","Edge","C","Fritz",344,24.1,"E3",816,9,9,NA
2007-10-05,"Conv","Edge","C","Fritz",344,24.4,"E4",48,7,7,NA
2007-10-05,"Conv","Edge","C","Fritz",344,24.4,"E5",810,15,15,NA
2007-10-05,"Conv","Edge","C","Fritz",344,24.3,"E6",735,9,9,NA
2007-10-05,"Conv","Edge","C","Fritz",344,24.3,"E7",632,18,17,NA
2007-10-05,"Conv","Edge","C","Fritz",344,24.2,"E8",914,18,16,NA
2007-10-05,"Conv","Interior","C","Fritz",344,24.2,"C1",804,3,2,NA
2007-10-05,"Conv","Interior","C","Fritz",344,24.2,"C2",763,3,2,NA
2007-10-05,"Conv","Interior","C","Fritz",344,24.3,"C3",754,9,8,NA
2007-10-05,"Conv","Interior","C","Fritz",344,24.3,"C4",738,2,1,NA
2007-10-05,"Conv","Interior","C","Fritz",344,24.1,"C5",945,3,2,NA
2007-10-05,"Conv","Interior","C","Fritz",344,24.1,"C6",914,1,1,NA
2007-10-05,"Conv","Interior","C","Fritz",344,24.4,"C7",872,6,6,NA
2007-10-05,"Conv","Interior","C","Fritz",344,24.4,"C8",751,5,4,NA
2007-10-05,"Conv","Edge","C","Monterey",346,30.1,"E1",748,5,5,NA
2007-10-05,"Conv","Edge","C","Monterey",346,30.1,"E2",891,6,6,NA
2007-10-05,"Conv","Edge","C","Monterey",346,30.4,"E3",823,12,11,NA
2007-10-05,"Conv","Edge","C","Monterey",346,30.4,"E4",612,3,3,NA
