"station","date","air_min","air_max","degree_days","accumulated_dd","x","x1","yr","julian"
"LOST_HILLS.A",2005-04-25,48,71,6.19,404.51,NA,NA,2005,115
"LOST_HILLS.A",2005-04-26,47,76,8.34,412.85,NA,NA,2005,116
"LOST_HILLS.A",2005-04-27,50,74,7.99,420.84,NA,NA,2005,117
"LOST_HILLS.A",2005-04-28,48,68,4.83,425.67,NA,NA,2005,118
"LOST_HILLS.A",2005-04-29,46,71,5.89,431.56,NA,NA,2005,119
"LOST_HILLS.A",2005-04-30,50,75,8.47,440.03,NA,NA,2005,120
"LOST_HILLS.A",2005-05-01,56,77,11.5,451.53,NA,NA,2005,121
"LOST_HILLS.A",2005-05-02,54,79,11.59,463.11,NA,NA,2005,122
"LOST_HILLS.A",2005-05-03,51,82,12.12,475.23,NA,NA,2005,123
"LOST_HILLS.A",2005-05-04,53,79,11.24,486.47,NA,NA,2005,124
"LOST_HILLS.A",2005-05-05,54,66,5.12,491.59,NA,NA,2005,125
"LOST_HILLS.A",2005-05-06,52,72,7.5,499.09,NA,NA,2005,126
"LOST_HILLS.A",2005-05-07,53,72,7.78,506.87,NA,NA,2005,127
"LOST_HILLS.A",2005-05-08,52,79,10.93,517.8,NA,NA,2005,128
"LOST_HILLS.A",2005-05-09,53,71,7.29,525.08,NA,NA,2005,129
"LOST_HILLS.A",2005-05-10,45,69,4.87,529.96,NA,NA,2005,130
"LOST_HILLS.A",2005-05-11,45,74,7.09,537.05,NA,NA,2005,131
"LOST_HILLS.A",2005-05-12,49,80,10.64,547.69,NA,NA,2005,132
"LOST_HILLS.A",2005-05-13,55,85,15,562.69,NA,NA,2005,133
"LOST_HILLS.A",2005-05-14,59,87,18,580.69,NA,NA,2005,134
"LOST_HILLS.A",2005-05-15,58,87,17.5,598.19,NA,NA,2005,135
"LOST_HILLS.A",2005-05-16,59,73,11,609.19,NA,NA,2005,136
"LOST_HILLS.A",2005-05-17,48,76,8.53,617.72,NA,NA,2005,137
"LOST_HILLS.A",2005-05-18,52,87,14.88,632.59,NA,NA,2005,138
"LOST_HILLS.A",2005-05-19,55,88,16.5,649.09,NA,NA,2005,139
"LOST_HILLS.A",2005-05-20,59,74,11.5,660.59,NA,NA,2005,140
"LOST_HILLS.A",2005-05-21,52,82,12.41,673,NA,NA,2005,141
"LOST_HILLS.A",2005-05-22,55,89,17,690,NA,NA,2005,142
"LOST_HILLS.A",2005-05-23,59,90,19.5,709.5,"2","2",2005,143
"LOST_HILLS.A",2005-05-24,58,94,21,730.5,NA,NA,2005,144
"LOST_HILLS.A",2005-05-25,63,95,23.92,754.42,NA,NA,2005,145
"LOST_HILLS.A",2005-05-26,60,95,22.43,776.85,NA,NA,2005,146
"LOST_HILLS.A",2005-05-27,61,95,22.93,799.78,NA,NA,2005,147
"LOST_HILLS.A",2005-05-28,58,90,19,818.78,NA,NA,2005,148
"LOST_HILLS.A",2005-05-29,53,78,10.74,829.52,NA,NA,2005,149
"LOST_HILLS.A",2005-05-30,53,82,12.72,842.25,NA,NA,2005,150
"LOST_HILLS.A",2005-05-31,56,91,18.5,860.75,NA,NA,2005,151
"LOST_HILLS.A",2005-06-01,63,89,21,881.75,NA,NA,2005,152
"LOST_HILLS.A",2005-06-02,55,87,16,897.75,NA,NA,2005,153
"LOST_HILLS.A",2005-06-03,55,88,16.5,914.25,"2","2",2005,154
"LOST_HILLS.A",2005-06-04,57,89,18,932.25,NA,NA,2005,155
"LOST_HILLS.A",2005-06-05,56,80,13,945.25,NA,NA,2005,156
"LOST_HILLS.A",2005-06-06,47,76,8.34,953.58,NA,NA,2005,157
"LOST_HILLS.A",2005-06-07,48,76,8.53,962.11,NA,NA,2005,158
"LOST_HILLS.A",2005-06-08,50,78,9.91,972.02,NA,NA,2005,159
"LOST_HILLS.A",2005-06-09,61,79,15,987.02,NA,NA,2005,160
"LOST_HILLS.A",2005-06-10,60,85,17.5,1004.52,NA,NA,2005,161
"LOST_HILLS.A",2005-06-11,58,86,17,1021.52,NA,NA,2005,162
"LOST_HILLS.A",2005-06-12,57,89,18,1039.52,NA,NA,2005,163
"LOST_HILLS.A",2005-06-13,59,93,21,1060.52,NA,NA,2005,164
"LOST_HILLS.A",2005-06-14,66,98,26.39,1086.91,NA,NA,2005,165
"LOST_HILLS.A",2005-06-15,61,94,22.5,1109.41,NA,NA,2005,166
"LOST_HILLS.A",2005-06-16,57,87,17,1126.41,NA,NA,2005,167
"LOST_HILLS.A",2005-06-17,59,76,12.5,1138.91,NA,NA,2005,168
"LOST_HILLS.A",2005-06-18,51,77,9.68,1148.59,"2","2",2005,169
"LOST_HILLS.A",2005-06-19,51,82,12.12,1160.71,NA,NA,2005,170
"LOST_HILLS.A",2005-06-20,54,84,14.08,1174.79,NA,NA,2005,171
"LOST_HILLS.A",2005-06-21,55,86,15.5,1190.29,NA,NA,2005,172
"LOST_HILLS.A",2005-06-22,55,89,17,1207.29,NA,NA,2005,173
"LOST_HILLS.A",2005-06-23,58,91,19.5,1226.79,NA,NA,2005,174
"LOST_HILLS.A",2005-06-24,55,88,16.5,1243.29,NA,NA,2005,175
"LOST_HILLS.A",2005-06-25,56,84,15,1258.29,NA,NA,2005,176
"LOST_HILLS.A",2005-06-26,56,88,17,1275.29,NA,NA,2005,177
"LOST_HILLS.A",2005-06-27,58,89,18.5,1293.79,NA,NA,2005,178
"LOST_HILLS.A",2005-06-28,58,89,18.5,1312.29,NA,NA,2005,179
"LOST_HILLS.A",2005-06-29,60,92,21,1333.29,NA,NA,2005,180
"LOST_HILLS.A",2005-06-30,66,98,26.39,1359.68,NA,NA,2005,181
"LOST_HILLS.A",2005-07-01,65,102,26.88,1386.56,NA,NA,2005,182
"LOST_HILLS.A",2005-07-02,67,100,27.39,1413.96,NA,NA,2005,183
"LOST_HILLS.A",2005-07-03,62,100,24.97,1438.93,NA,NA,2005,184
"LOST_HILLS.A",2005-07-04,62,99,24.71,1463.64,NA,NA,2005,185
"LOST_HILLS.A",2005-07-05,64,96,24.79,1488.42,NA,NA,2005,186
"LOST_HILLS.A",2005-07-06,60,95,22.43,1510.85,NA,NA,2005,187
"LOST_HILLS.A",2005-07-07,66,96,25.78,1536.63,NA,NA,2005,188
"LOST_HILLS.A",2005-07-08,64,93,23.5,1560.13,NA,NA,2005,189
"LOST_HILLS.A",2005-07-09,62,89,20.5,1580.63,NA,NA,2005,190
"LOST_HILLS.A",2005-07-10,63,89,21,1601.63,NA,NA,2005,191
"LOST_HILLS.A",2005-07-11,65,91,23,1624.63,NA,NA,2005,192
"LOST_HILLS.A",2005-07-12,70,100,28.84,1653.47,NA,NA,2005,193
"LOST_HILLS.A",2005-07-13,70,103,29.45,1682.91,NA,NA,2005,194
"LOST_HILLS.A",2005-07-14,69,105,29.33,1712.24,NA,NA,2005,195
"LOST_HILLS.A",2005-07-15,70,105,29.79,1742.03,NA,NA,2005,196
"LOST_HILLS.A",2005-07-16,71,104,30.08,1772.12,"2","2",2005,197
"LOST_HILLS.A",2005-07-17,70,106,29.95,1802.07,NA,NA,2005,198
"LOST_HILLS.A",2005-07-18,70,106,29.95,1832.02,NA,NA,2005,199
"LOST_HILLS.A",2005-07-19,69,101,28.58,1860.6,NA,NA,2005,200
"LOST_HILLS.A",2005-07-20,66,104,27.76,1888.36,NA,NA,2005,201
"LOST_HILLS.A",2005-07-21,74,104,31.46,1919.81,NA,NA,2005,202
"LOST_HILLS.A",2005-07-22,69,97,27.58,1947.39,NA,NA,2005,203
"LOST_HILLS.A",2005-07-23,65,101,26.66,1974.05,NA,NA,2005,204
"LOST_HILLS.A",2005-07-24,72,102,30.2,2004.25,NA,NA,2005,205
"LOST_HILLS.A",2005-07-25,68,101,28.1,2032.35,NA,NA,2005,206
"LOST_HILLS.A",2005-07-26,65,101,26.66,2059.01,NA,NA,2005,207
"LOST_HILLS.A",2005-07-27,66,103,27.57,2086.58,NA,NA,2005,208
"LOST_HILLS.A",2005-07-28,67,102,27.84,2114.42,NA,NA,2005,209
"LOST_HILLS.A",2005-07-29,67,99,27.15,2141.56,NA,NA,2005,210
"LOST_HILLS.A",2005-07-30,66,99,26.66,2168.22,NA,NA,2005,211
"LOST_HILLS.A",2005-07-31,68,101,28.1,2196.32,NA,NA,2005,212
"LOST_HILLS.A",2005-08-01,67,99,27.15,2223.47,NA,NA,2005,213
"LOST_HILLS.A",2005-08-02,64,100,25.94,2249.41,NA,NA,2005,214
"LOST_HILLS.A",2005-08-03,66,100,26.91,2276.32,NA,NA,2005,215
"LOST_HILLS.A",2005-08-04,64,101,26.18,2302.51,NA,NA,2005,216
"LOST_HILLS.A",2005-08-05,70,101,29.05,2331.56,NA,NA,2005,217
"LOST_HILLS.A",2005-08-06,69,104,29.16,2360.72,NA,NA,2005,218
"LOST_HILLS.A",2005-08-07,69,103,28.98,2389.7,NA,NA,2005,219
"LOST_HILLS.A",2005-08-08,66,104,27.76,2417.46,NA,NA,2005,220
"LOST_HILLS.A",2005-08-09,67,102,27.84,2445.29,NA,NA,2005,221
"LOST_HILLS.A",2005-08-10,65,100,26.43,2471.72,NA,NA,2005,222
"LOST_HILLS.A",2005-08-11,62,99,24.71,2496.43,NA,NA,2005,223
"LOST_HILLS.A",2005-08-12,61,98,23.94,2520.36,NA,NA,2005,224
"LOST_HILLS.A",2005-08-13,62,92,22,2542.36,NA,NA,2005,225
"LOST_HILLS.A",2005-08-14,58,92,20,2562.36,NA,NA,2005,226
"LOST_HILLS.A",2005-08-15,68,85,21.5,2583.86,NA,NA,2005,227
"LOST_HILLS.A",2005-08-16,64,92,23,2606.86,NA,NA,2005,228
"LOST_HILLS.A",2005-08-17,67,98,26.88,2633.75,NA,NA,2005,229
"LOST_HILLS.A",2005-08-18,62,95,23.43,2657.17,NA,NA,2005,230
"LOST_HILLS.A",2005-08-19,58,92,20,2677.17,NA,NA,2005,231
"LOST_HILLS.A",2005-08-20,60,93,21.5,2698.67,"2","2",2005,232
"LOST_HILLS.A",2005-08-21,61,96,23.3,2721.97,NA,NA,2005,233
"LOST_HILLS.A",2005-08-22,61,97,23.63,2745.6,NA,NA,2005,234
"LOST_HILLS.A",2005-08-23,63,101,25.7,2771.3,NA,NA,2005,235
"LOST_HILLS.A",2005-08-24,61,100,24.49,2795.78,NA,NA,2005,236
"LOST_HILLS.A",2005-08-25,55,96,20.31,2816.09,NA,NA,2005,237
"LOST_HILLS.A",2005-08-26,61,100,24.49,2840.58,NA,NA,2005,238
"LOST_HILLS.A",2005-08-27,65,100,26.43,2867.01,NA,NA,2005,239
"LOST_HILLS.A",2005-08-28,65,104,27.29,2894.3,NA,NA,2005,240
"LOST_HILLS.A",2005-08-29,67,99,27.15,2921.44,NA,NA,2005,241
"LOST_HILLS.A",2005-08-30,59,90,19.5,2940.94,NA,NA,2005,242
"LOST_HILLS.A",2005-08-31,57,95,20.93,2961.87,"2","2",2005,243
"LOST_HILLS.A",2005-09-01,58,98,22.46,2984.33,NA,NA,2005,244
"LOST_HILLS.A",2005-09-02,60,99,23.73,3008.06,NA,NA,2005,245
"LOST_HILLS.A",2005-09-03,58,96,21.8,3029.87,NA,NA,2005,246
"LOST_HILLS.A",2005-09-04,55,92,18.5,3048.37,NA,NA,2005,247
"LOST_HILLS.A",2005-09-05,55,90,17.5,3065.87,NA,NA,2005,248
"LOST_HILLS.A",2005-09-06,60,90,20,3085.87,NA,NA,2005,249
"LOST_HILLS.A",2005-09-07,56,92,19,3104.87,NA,NA,2005,250
"LOST_HILLS.A",2005-09-08,55,89,17,3121.87,NA,NA,2005,251
"LOST_HILLS.A",2005-09-09,53,83,13.22,3135.09,NA,NA,2005,252
"LOST_HILLS.A",2005-09-10,51,81,11.63,3146.72,NA,NA,2005,253
"LOST_HILLS.A",2005-09-11,50,80,10.88,3157.6,NA,NA,2005,254
"LOST_HILLS.A",2005-09-12,47,79,9.74,3167.34,NA,NA,2005,255
"LOST_HILLS.A",2005-09-13,51,81,11.63,3178.97,NA,NA,2005,256
"LOST_HILLS.A",2005-09-14,50,81,11.37,3190.34,NA,NA,2005,257
"LOST_HILLS.A",2005-09-15,53,85,14.21,3204.55,NA,NA,2005,258
"LOST_HILLS.A",2005-09-16,52,85,13.89,3218.44,NA,NA,2005,259
"LOST_HILLS.A",2005-09-17,51,80,11.14,3229.58,NA,NA,2005,260
"LOST_HILLS.A",2005-09-18,49,81,11.12,3240.7,NA,NA,2005,261
"LOST_HILLS.A",2005-09-19,53,87,15.21,3255.91,NA,NA,2005,262
"LOST_HILLS.A",2005-09-20,61,88,19.5,3275.41,NA,NA,2005,263
"LOST_HILLS.A",2005-09-21,55,85,15,3290.41,NA,NA,2005,264
"LOST_HILLS.A",2005-09-22,59,91,20,3310.41,NA,NA,2005,265
"LOST_HILLS.A",2005-09-23,60,89,19.5,3329.91,NA,NA,2005,266
"LOST_HILLS.A",2005-09-24,49,79,10.16,3340.07,"2","2",2005,267
"LOST_HILLS.A",2005-09-25,50,79,10.4,3350.47,NA,NA,2005,268
"LOST_HILLS.A",2005-09-26,58,79,13.5,3363.97,NA,NA,2005,269
"LOST_HILLS.A",2005-09-27,51,82,12.12,3376.09,NA,NA,2005,270
"LOST_HILLS.A",2005-09-28,57,88,17.5,3393.59,NA,NA,2005,271
"LOST_HILLS.A",2005-09-29,55,94,19.5,3413.09,NA,NA,2005,272
"LOST_HILLS.A",2005-09-30,58,95,21.43,3434.52,NA,NA,2005,273
"LOST_HILLS.A",2005-10-01,58,91,19.5,3454.02,NA,NA,2005,274
"LOST_HILLS.A",2005-10-02,57,80,13.5,3467.52,NA,NA,2005,275
"LOST_HILLS.A",2005-10-03,48,73,7.12,3474.64,NA,NA,2005,276
"LOST_HILLS.A",2005-10-04,43,71,5.5,3480.14,NA,NA,2005,277
"LOST_HILLS.A",2005-10-05,46,79,9.55,3489.69,NA,NA,2005,278
"LOST_HILLS.A",2005-10-06,49,85,13.06,3502.75,NA,NA,2005,279
"LOST_HILLS.A",2005-10-07,49,88,14.52,3517.27,NA,NA,2005,280
"LOST_HILLS.A",2005-10-08,53,75,9.26,3526.53,NA,NA,2005,281
"LOST_HILLS.A",2005-10-09,45,77,8.46,3534.98,NA,NA,2005,282
"LOST_HILLS.A",2005-10-10,47,85,12.59,3547.57,NA,NA,2005,283
"LOST_HILLS.A",2005-10-11,47,86,13.07,3560.65,NA,NA,2005,284
"LOST_HILLS.A",2005-10-12,51,83,12.61,3573.25,NA,NA,2005,285
"LOST_HILLS.A",2005-10-13,51,88,15.06,3588.32,NA,NA,2005,286
"LOST_HILLS.A",2005-10-14,51,94,18.02,3606.34,NA,NA,2005,287
"LOST_HILLS.A",2005-10-15,49,70,5.9,3612.25,NA,NA,2005,288
"LOST_HILLS.A",2005-10-16,49,74,7.78,3620.03,NA,NA,2005,289
"LOST_HILLS.A",2005-10-17,53,79,11.24,3631.26,NA,NA,2005,290
"LOST_HILLS.A",2005-10-18,55,79,12,3643.26,"2","2",2005,291
"LOST_HILLS.A",2005-10-19,51,72,7.26,3650.52,NA,NA,2005,292
"LOST_HILLS.A",2005-10-20,54,75,9.59,3660.11,NA,NA,2005,293
"LOST_HILLS.A",2005-10-21,51,76,9.19,3669.3,NA,NA,2005,294
"LOST_HILLS.A",2005-10-22,51,83,12.61,3681.91,NA,NA,2005,295
"LOST_HILLS.A",2005-10-23,53,83,13.22,3695.13,NA,NA,2005,296
"LOST_HILLS.A",2005-10-24,54,78,11.09,3706.22,NA,NA,2005,297
"LOST_HILLS.A",2005-10-25,54,74,9.1,3715.31,NA,NA,2005,298
"LOST_HILLS.A",2005-10-26,49,74,7.78,3723.09,NA,NA,2005,299
"LOST_HILLS.A",2005-10-27,46,62,2.07,3725.16,NA,NA,2005,300
"LOST_HILLS.A",2005-10-28,41,71,5.29,3730.44,NA,NA,2005,301
"LOST_HILLS.A",2005-10-29,44,73,6.5,3736.95,NA,NA,2005,302
"LOST_HILLS.A",2005-10-30,49,71,6.37,3743.32,NA,NA,2005,303
"LOST_HILLS.A",2005-10-31,46,75,7.7,3751.02,NA,NA,2005,304
"LOST_HILLS.A",2005-11-01,47,83,11.64,3762.66,NA,NA,2005,305
"LOST_HILLS.A",2005-11-02,51,75,8.71,3771.36,NA,NA,2005,306
"LOST_HILLS.A",2005-11-03,46,68,4.56,3775.92,NA,NA,2005,307
"LOST_HILLS.A",2005-11-04,40,69,4.37,3780.29,NA,NA,2005,308
"LOST_HILLS.A",2005-11-05,45,66,3.6,3783.88,NA,NA,2005,309
"LOST_HILLS.A",2005-11-06,45,69,4.87,3788.76,NA,NA,2005,310
"LOST_HILLS.A",2005-11-07,46,77,8.62,3797.38,NA,NA,2005,311
"LOST_HILLS.A",2005-11-08,52,68,5.56,3802.94,NA,NA,2005,312
"LOST_HILLS.A",2005-11-09,48,65,3.5,3806.44,NA,NA,2005,313
"LOST_HILLS.A",2005-11-10,49,67,4.53,3810.97,NA,NA,2005,314
"LOST_HILLS.A",2005-11-11,47,72,6.49,3817.46,NA,NA,2005,315
"LOST_HILLS.A",2005-11-12,46,66,3.7,3821.16,NA,NA,2005,316
"LOST_HILLS.A",2005-11-13,44,68,4.33,3825.49,NA,NA,2005,317
"LOST_HILLS.A",2005-11-14,42,69,4.55,3830.04,NA,NA,2005,318
"LOST_HILLS.A",2005-11-15,41,73,6.13,3836.17,NA,NA,2005,319
"LOST_HILLS.A",2005-11-16,43,78,8.6,3844.77,NA,NA,2005,320
"LOST_HILLS.A",2005-11-17,44,74,6.95,3851.72,NA,NA,2005,321
"LOST_HILLS.A",2005-11-18,42,76,7.56,3859.28,NA,NA,2005,322
"LOST_HILLS.A",2005-11-19,42,75,7.12,3866.4,NA,NA,2005,323
"LOST_HILLS.A",2005-11-20,37,75,6.56,3872.95,NA,NA,2005,324
"LOST_HILLS.A",2005-11-21,40,76,7.31,3880.26,NA,NA,2005,325
"LOST_HILLS.A",2005-11-22,41,74,6.56,3886.83,NA,NA,2005,326
"LOST_HILLS.A",2005-11-23,44,71,5.62,3892.45,NA,NA,2005,327
"LOST_HILLS.A",2005-11-24,38,74,6.24,3898.69,NA,NA,2005,328
"LOST_HILLS.A",2005-11-25,46,70,5.44,3904.13,NA,NA,2005,329
"LOST_HILLS.A",2005-11-26,34,60,0.95,3905.08,NA,NA,2005,330
